latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
53.18102,8.181818,7.0,0,GMT,GMT

date,temperature_2m (°C),relative_humidity_2m (%),precipitation (mm),rain (mm),weather_code (wmo code),pressure_msl (hPa),surface_pressure (hPa)
2025-09-01T00:00,17.8,94,0.10,0.10,51,1007.5,1006.7
2025-09-01T01:00,18.3,87,0.00,0.00,3,1006.8,1006.0
2025-09-01T02:00,17.6,88,0.60,0.60,53,1006.8,1006.0
2025-09-01T03:00,17.0,93,0.70,0.70,53,1006.4,1005.6
2025-09-01T04:00,16.9,94,0.30,0.30,51,1006.2,1005.4
2025-09-01T05:00,16.8,96,0.30,0.30,51,1005.6,1004.8
2025-09-01T06:00,16.5,98,0.30,0.30,51,1004.9,1004.1
2025-09-01T07:00,16.7,97,0.90,0.90,53,1004.9,1004.1
2025-09-01T08:00,16.6,99,1.90,1.90,61,1005.5,1004.7
2025-09-01T09:00,16.9,96,0.80,0.80,53,1006.0,1005.2
2025-09-01T10:00,16.0,95,1.30,1.30,61,1006.7,1005.9
2025-09-01T11:00,16.8,91,0.40,0.40,51,1006.9,1006.1
2025-09-01T12:00,17.4,91,0.10,0.10,51,1007.5,1006.7
2025-09-01T13:00,18.8,85,0.00,0.00,3,1008.1,1007.3
2025-09-01T14:00,19.2,81,0.10,0.10,51,1007.8,1007.0
2025-09-01T15:00,20.1,78,0.10,0.10,51,1007.7,1006.9
2025-09-01T16:00,20.1,74,0.00,0.00,0,1007.8,1007.0
2025-09-01T17:00,19.7,77,0.00,0.00,1,1007.7,1006.9
2025-09-01T18:00,18.1,84,0.00,0.00,0,1007.9,1007.1
2025-09-01T19:00,17.1,88,0.00,0.00,3,1008.1,1007.3
2025-09-01T20:00,16.6,89,0.00,0.00,3,1008.4,1007.6
2025-09-01T21:00,16.5,88,0.00,0.00,3,1008.7,1007.9
2025-09-01T22:00,15.9,90,0.00,0.00,3,1008.4,1007.6
2025-09-01T23:00,15.3,91,0.00,0.00,3,1007.9,1007.1
2025-09-02T00:00,14.7,92,0.00,0.00,3,1007.9,1007.1
2025-09-02T01:00,14.9,91,0.00,0.00,3,1007.9,1007.1
2025-09-02T02:00,14.4,91,0.00,0.00,3,1007.9,1007.1
2025-09-02T03:00,14.2,92,0.00,0.00,3,1008.0,1007.2
2025-09-02T04:00,14.1,92,0.00,0.00,1,1007.8,1007.0
2025-09-02T05:00,13.9,92,0.00,0.00,1,1007.9,1007.1
2025-09-02T06:00,14.9,89,0.00,0.00,0,1007.8,1007.0
2025-09-02T07:00,16.2,85,0.00,0.00,0,1008.0,1007.2
2025-09-02T08:00,17.1,81,0.00,0.00,0,1008.1,1007.3
2025-09-02T09:00,18.4,73,0.00,0.00,1,1008.5,1007.7
2025-09-02T10:00,19.1,70,0.00,0.00,1,1008.6,1007.8
2025-09-02T11:00,19.7,67,0.00,0.00,2,1008.2,1007.4
2025-09-02T12:00,20.2,64,0.00,0.00,1,1008.1,1007.3
2025-09-02T13:00,20.4,64,0.00,0.00,0,1008.1,1007.3
2025-09-02T14:00,20.5,62,0.00,0.00,0,1007.9,1007.1
2025-09-02T15:00,20.3,60,0.00,0.00,0,1008.0,1007.2
2025-09-02T16:00,19.9,60,0.00,0.00,0,1008.2,1007.4
2025-09-02T17:00,19.2,65,0.00,0.00,0,1008.3,1007.5
2025-09-02T18:00,17.4,73,0.00,0.00,0,1008.3,1007.5
2025-09-02T19:00,16.5,76,0.00,0.00,0,1008.8,1008.0
2025-09-02T20:00,15.7,78,0.00,0.00,0,1009.1,1008.3
2025-09-02T21:00,15.1,79,0.00,0.00,0,1009.0,1008.2
2025-09-02T22:00,14.7,77,0.00,0.00,1,1008.5,1007.7
2025-09-02T23:00,15.4,72,0.00,0.00,2,1008.2,1007.4
2025-09-03T00:00,15.1,72,0.00,0.00,0,1007.8,1007.0
2025-09-03T01:00,15.5,71,0.00,0.00,3,1007.7,1006.9
2025-09-03T02:00,15.7,70,0.00,0.00,1,1007.3,1006.5
2025-09-03T03:00,15.0,71,0.00,0.00,3,1007.0,1006.2
2025-09-03T04:00,15.0,70,0.00,0.00,3,1006.8,1006.0
2025-09-03T05:00,15.4,71,0.00,0.00,3,1006.6,1005.8
2025-09-03T06:00,15.9,73,0.00,0.00,1,1006.2,1005.4
2025-09-03T07:00,17.4,73,0.00,0.00,2,1006.1,1005.3
2025-09-03T08:00,18.6,72,0.00,0.00,3,1006.1,1005.3
2025-09-03T09:00,19.8,68,0.00,0.00,3,1006.2,1005.4
2025-09-03T10:00,19.6,69,0.00,0.00,3,1006.3,1005.5
2025-09-03T11:00,20.2,66,0.00,0.00,3,1005.9,1005.1
2025-09-03T12:00,21.9,59,0.00,0.00,3,1005.5,1004.7
2025-09-03T13:00,22.3,61,0.00,0.00,3,1005.0,1004.2
2025-09-03T14:00,22.5,65,0.30,0.30,51,1004.8,1004.0
2025-09-03T15:00,22.9,61,0.00,0.00,3,1004.6,1003.8
2025-09-03T16:00,23.1,62,0.00,0.00,3,1004.6,1003.8
2025-09-03T17:00,21.7,69,0.00,0.00,2,1004.6,1003.8
2025-09-03T18:00,21.5,68,0.00,0.00,3,1004.4,1003.6
2025-09-03T19:00,20.9,71,0.00,0.00,1,1004.2,1003.4
2025-09-03T20:00,21.5,65,0.00,0.00,2,1004.2,1003.4
2025-09-03T21:00,21.5,64,0.00,0.00,3,1004.4,1003.6
2025-09-03T22:00,20.4,70,0.00,0.00,3,1005.1,1004.3
2025-09-03T23:00,19.3,76,0.10,0.10,51,1005.5,1004.7
2025-09-04T00:00,19.0,80,0.00,0.00,1,1005.8,1005.0
2025-09-04T01:00,18.2,90,0.00,0.00,1,1005.8,1005.0
2025-09-04T02:00,17.8,90,0.00,0.00,0,1006.3,1005.5
2025-09-04T03:00,17.2,91,0.00,0.00,0,1006.8,1006.0
2025-09-04T04:00,16.6,93,0.00,0.00,2,1007.5,1006.7
2025-09-04T05:00,16.3,93,0.00,0.00,0,1008.3,1007.5
2025-09-04T06:00,16.7,90,0.00,0.00,0,1008.9,1008.1
2025-09-04T07:00,17.6,83,0.00,0.00,1,1009.5,1008.7
2025-09-04T08:00,18.5,76,0.00,0.00,1,1010.2,1009.4
2025-09-04T09:00,19.4,70,0.00,0.00,1,1010.7,1009.9
2025-09-04T10:00,20.4,64,0.00,0.00,1,1011.1,1010.3
2025-09-04T11:00,21.1,59,0.00,0.00,1,1011.3,1010.5
2025-09-04T12:00,21.8,54,0.00,0.00,3,1011.1,1010.3
2025-09-04T13:00,22.1,51,0.00,0.00,3,1011.3,1010.5
2025-09-04T14:00,22.6,48,0.00,0.00,3,1011.0,1010.2
2025-09-04T15:00,22.0,50,0.00,0.00,3,1011.1,1010.3
2025-09-04T16:00,21.4,56,0.00,0.00,3,1011.3,1010.5
2025-09-04T17:00,20.7,61,0.00,0.00,3,1011.2,1010.4
2025-09-04T18:00,19.0,69,0.00,0.00,3,1011.3,1010.5
2025-09-04T19:00,18.0,74,0.00,0.00,3,1011.7,1010.9
2025-09-04T20:00,18.0,73,0.00,0.00,3,1011.5,1010.7
2025-09-04T21:00,17.4,73,0.00,0.00,3,1011.8,1011.0
2025-09-04T22:00,17.1,75,0.00,0.00,3,1012.0,1011.2
2025-09-04T23:00,17.4,73,0.00,0.00,3,1012.2,1011.4
2025-09-05T00:00,17.2,75,0.00,0.00,3,1012.5,1011.7
2025-09-05T01:00,16.7,84,0.50,0.50,53,1012.3,1011.5
2025-09-05T02:00,15.9,92,0.60,0.60,53,1012.5,1011.7
2025-09-05T03:00,15.5,97,0.80,0.80,53,1012.8,1012.0
2025-09-05T04:00,15.2,96,0.10,0.10,51,1013.3,1012.5
2025-09-05T05:00,14.7,96,0.00,0.00,0,1014.0,1013.2
2025-09-05T06:00,14.7,95,0.00,0.00,0,1014.6,1013.8
2025-09-05T07:00,15.5,91,0.00,0.00,0,1015.2,1014.4
2025-09-05T08:00,16.6,85,0.00,0.00,0,1016.1,1015.3
2025-09-05T09:00,17.8,78,0.00,0.00,1,1016.7,1015.9
2025-09-05T10:00,18.6,72,0.00,0.00,1,1017.3,1016.5
2025-09-05T11:00,19.3,65,0.00,0.00,1,1017.8,1017.0
2025-09-05T12:00,19.8,62,0.00,0.00,2,1018.4,1017.6
2025-09-05T13:00,18.5,72,0.10,0.10,51,1019.2,1018.4
2025-09-05T14:00,19.5,66,0.00,0.00,1,1019.4,1018.6
2025-09-05T15:00,19.2,64,0.10,0.10,51,1020.0,1019.2
2025-09-05T16:00,18.4,65,0.00,0.00,1,1020.5,1019.7
2025-09-05T17:00,17.9,66,0.00,0.00,1,1020.6,1019.8
2025-09-05T18:00,16.5,73,0.00,0.00,0,1021.1,1020.3
2025-09-05T19:00,15.4,78,0.00,0.00,0,1022.0,1021.2
2025-09-05T20:00,14.4,82,0.00,0.00,0,1022.6,1021.8
2025-09-05T21:00,13.7,84,0.00,0.00,0,1023.1,1022.2
2025-09-05T22:00,13.1,87,0.00,0.00,0,1023.3,1022.4
2025-09-05T23:00,12.6,89,0.00,0.00,0,1023.5,1022.6
2025-09-06T00:00,12.3,91,0.00,0.00,0,1024.0,1023.1
2025-09-06T01:00,11.1,94,0.00,0.00,0,1024.0,1023.1
2025-09-06T02:00,10.8,95,0.00,0.00,0,1024.1,1023.2
2025-09-06T03:00,10.4,95,0.00,0.00,0,1024.2,1023.3
2025-09-06T04:00,9.9,96,0.00,0.00,0,1024.3,1023.4
2025-09-06T05:00,9.5,97,0.00,0.00,0,1024.6,1023.7
2025-09-06T06:00,10.7,96,0.00,0.00,0,1024.8,1023.9
2025-09-06T07:00,13.3,89,0.00,0.00,0,1025.1,1024.2
2025-09-06T08:00,15.8,81,0.00,0.00,0,1025.1,1024.3
2025-09-06T09:00,17.6,71,0.00,0.00,0,1025.2,1024.4
2025-09-06T10:00,18.7,64,0.00,0.00,0,1024.9,1024.1
2025-09-06T11:00,19.6,59,0.00,0.00,0,1024.7,1023.9
2025-09-06T12:00,20.4,55,0.00,0.00,0,1024.5,1023.7
2025-09-06T13:00,21.5,48,0.00,0.00,1,1024.4,1023.6
2025-09-06T14:00,21.8,45,0.00,0.00,3,1023.7,1022.9
2025-09-06T15:00,21.8,43,0.00,0.00,2,1023.2,1022.4
2025-09-06T16:00,21.4,45,0.00,0.00,3,1023.0,1022.2
2025-09-06T17:00,20.1,57,0.00,0.00,3,1023.0,1022.2
2025-09-06T18:00,18.4,63,0.00,0.00,3,1022.8,1022.0
2025-09-06T19:00,17.5,65,0.00,0.00,3,1022.9,1022.1
2025-09-06T20:00,16.8,66,0.00,0.00,3,1022.6,1021.8
2025-09-06T21:00,16.1,69,0.00,0.00,3,1022.4,1021.6
2025-09-06T22:00,15.8,70,0.00,0.00,3,1022.6,1021.8
2025-09-06T23:00,15.5,70,0.00,0.00,3,1022.6,1021.8
2025-09-07T00:00,15.0,72,0.00,0.00,3,1022.4,1021.6
2025-09-07T01:00,14.0,77,0.00,0.00,3,1021.8,1020.9
2025-09-07T02:00,13.8,78,0.00,0.00,3,1021.8,1020.9
2025-09-07T03:00,13.4,80,0.00,0.00,3,1021.6,1020.7
2025-09-07T04:00,13.3,81,0.00,0.00,3,1021.2,1020.3
2025-09-07T05:00,13.2,82,0.00,0.00,2,1021.2,1020.3
2025-09-07T06:00,13.8,81,0.00,0.00,0,1021.1,1020.2
2025-09-07T07:00,15.4,77,0.00,0.00,3,1020.9,1020.1
2025-09-07T08:00,17.1,72,0.00,0.00,2,1020.7,1019.9
2025-09-07T09:00,19.0,67,0.00,0.00,3,1020.3,1019.5
2025-09-07T10:00,20.8,62,0.00,0.00,3,1020.1,1019.3
2025-09-07T11:00,22.3,55,0.00,0.00,2,1019.4,1018.6
2025-09-07T12:00,23.4,47,0.00,0.00,3,1018.7,1017.9
2025-09-07T13:00,24.2,41,0.00,0.00,3,1018.1,1017.3
2025-09-07T14:00,24.1,42,0.00,0.00,3,1017.5,1016.7
2025-09-07T15:00,23.7,43,0.00,0.00,3,1017.0,1016.2
2025-09-07T16:00,22.8,47,0.00,0.00,3,1016.6,1015.8
2025-09-07T17:00,21.7,49,0.00,0.00,3,1016.6,1015.8
2025-09-07T18:00,20.5,51,0.00,0.00,3,1016.7,1015.9
2025-09-07T19:00,19.7,52,0.00,0.00,3,1017.1,1016.3
2025-09-07T20:00,19.0,54,0.00,0.00,3,1017.2,1016.4
2025-09-07T21:00,18.2,57,0.00,0.00,3,1017.4,1016.6
2025-09-07T22:00,17.4,60,0.00,0.00,3,1017.1,1016.3
2025-09-07T23:00,16.6,63,0.00,0.00,3,1016.8,1016.0
2025-09-08T00:00,15.9,66,0.00,0.00,1,1016.8,1016.0
2025-09-08T01:00,15.4,64,0.00,0.00,0,1016.6,1015.8
2025-09-08T02:00,14.8,67,0.00,0.00,0,1016.2,1015.4
2025-09-08T03:00,14.3,70,0.00,0.00,0,1015.6,1014.8
2025-09-08T04:00,13.8,74,0.00,0.00,0,1015.4,1014.6
2025-09-08T05:00,13.2,77,0.00,0.00,0,1015.8,1015.0
2025-09-08T06:00,13.8,76,0.00,0.00,1,1015.6,1014.8
2025-09-08T07:00,15.3,72,0.00,0.00,0,1015.7,1014.9
