Datum	Uhrzeit	Windgeschw	Temperatur	Gefühlte_Temperatur	Lichtstärke	relative_Feuchte	Windrichtung	Strahlung	Niederschlag_heute	Luftdruck	Sonne_Elevation_Sonne	Azimut	Hochrechnung_Regen/Stunde	Taupunkt	Lichtstärke_Nord	Lichtstärke_Ost	Lichtstärke_Süd	Lichtstärke_West	Richtung_mittlere_Lichtstärke	Relativer_Luftdruck	Regenart
01.09.2025	00:00:00	1,0	19,5	19,5	0	80,7	167	0	0,1	1005	-26	335	0,0	16,1	0	0	0	1	0	1007	0
01.09.2025	00:30:00	3,4	19,5	19,9	0	79,9	152	0	0,1	1005	-27	343	0,0	16,0	0	1	0	0	0	1007	0
01.09.2025	01:00:00	1,0	19,4	19,4	0	79,8	201	0	0,1	1005	-28	352	0,0	15,8	0	0	0	0	0	1007	0
01.09.2025	01:30:00	1,5	19,3	20,0	0	79,8	180	0	0,1	1004	-29	0	0,0	15,8	0	0	0	0	0	1007	0
01.09.2025	02:00:00	1,1	19,0	19,0	0	80,8	171	0	0,1	1004	-28	9	0,0	15,6	0	1	0	0	0	1007	0
01.09.2025	02:30:00	0,8	19,3	19,3	1	77,8	175	0	0,0	1004	-28	17	0,0	15,4	0	0	0	0	0	1006	0
01.09.2025	03:00:00	1,7	19,1	19,8	0	79,5	101	0	0,0	1004	-26	25	0,0	15,5	0	0	1	0	0	1006	0
01.09.2025	03:30:00	1,4	19,0	19,0	0	79,7	114	0	0,0	1003	-24	33	0,0	15,4	1	0	0	0	0	1006	0
01.09.2025	04:00:00	0,8	19,1	19,1	1	78,7	119	0	0,0	1003	-21	40	0,0	15,4	1	0	0	0	0	1006	0
01.09.2025	04:30:00	1,0	19,1	19,1	0	78,7	123	0	0,0	1003	-18	48	0,0	15,3	0	0	0	0	0	1005	0
01.09.2025	05:00:00	0,1	18,9	18,9	0	80,0	204	0	0,0	1003	-15	54	0,0	15,3	0	0	0	0	0	1005	0
01.09.2025	05:30:00	1,0	18,7	18,7	1	81,4	179	0	0,1	1003	-11	61	0,0	15,5	0	0	1	1	0	1005	51
01.09.2025	06:00:00	0,8	17,9	17,9	0	86,6	230	0	0,4	1003	-7	67	0,0	15,7	0	0	0	0	0	1005	0
01.09.2025	06:30:00	1,6	17,8	18,3	19	89,2	184	0	0,9	1003	-3	73	0,8	16,0	16	16	17	19	0	1005	61
01.09.2025	07:00:00	0,7	17,4	17,4	270	91,7	159	3	1,4	1002	2	79	3,5	16,1	265	269	267	254	0	1005	62
01.09.2025	07:30:00	1,0	17,4	17,4	696	92,4	168	9	1,5	1002	6	85	0,3	16,2	660	695	694	638	0	1005	61
01.09.2025	08:00:00	1,0	17,3	17,3	1009	92,7	298	15	1,6	1002	11	91	0,1	16,1	984	948	1007	1000	0	1005	51
01.09.2025	08:30:00	2,4	17,2	17,6	965	93,9	290	15	1,7	1002	15	98	0,0	16,3	974	955	899	878	0	1005	51
01.09.2025	09:00:00	2,4	17,3	17,7	804	93,5	279	8	1,7	1003	20	104	0,0	16,3	796	801	803	781	0	1005	51
01.09.2025	09:30:00	1,7	16,9	17,2	2188	94,9	268	28	3,6	1003	24	110	2,8	16,1	2169	2125	2189	2102	0	1005	62
01.09.2025	10:00:00	2,0	16,0	16,2	2335	94,8	244	31	4,7	1003	28	117	0,4	15,2	2259	2316	2297	2113	0	1005	61
01.09.2025	10:30:00	2,1	16,0	16,2	3653	94,7	289	49	5,5	1004	32	124	3,7	15,2	3248	3481	3640	3286	0	1006	62
01.09.2025	11:00:00	1,1	16,0	16,0	9307	93,8	278	143	5,9	1003	36	132	0,1	15,1	8787	9269	9265	8514	121	1006	61
01.09.2025	11:30:00	0,8	16,5	16,5	13205	92,1	342	197	6,0	1004	39	141	0,0	15,3	12401	13204	12241	11202	85	1006	0
01.09.2025	12:00:00	0,8	17,0	17,0	11607	90,1	205	177	6,0	1004	41	150	0,0	15,5	10325	10720	11566	10840	186	1006	51
01.09.2025	12:30:00	2,4	17,3	17,7	14803	89,9	220	225	6,1	1004	43	160	0,0	15,7	14069	14834	14207	13188	98	1007	51
01.09.2025	13:00:00	0,9	18,1	18,1	25035	88,4	143	353	6,1	1005	45	170	0,0	16,0	22003	24230	25005	21480	138	1007	0
01.09.2025	13:30:00	3,6	17,9	17,7	35603	86,5	223	415	6,1	1005	45	181	0,0	15,6	23937	30279	35995	28458	174	1007	0
01.09.2025	14:00:00	3,7	18,4	18,3	11484	83,7	196	182	6,1	1005	45	191	0,0	15,9	11454	10283	10184	11130	325	1007	0
01.09.2025	14:30:00	2,0	18,5	19,1	15399	84,9	221	238	6,1	1005	44	201	0,0	15,9	15467	14844	14424	14452	17	1007	0
01.09.2025	15:00:00	1,2	20,0	20,0	19951	77,7	233	288	6,1	1005	42	211	0,0	16,1	17654	17679	19885	18972	208	1007	0
01.09.2025	15:30:00	1,3	20,6	20,6	19320	75,5	220	272	6,1	1005	39	220	0,0	16,1	16015	16359	19447	18148	209	1007	0
01.09.2025	16:00:00	1,5	20,7	21,6	12333	76,1	238	128	6,1	1005	36	228	0,0	15,8	8203	7640	11602	12293	234	1007	0
01.09.2025	16:30:00	2,2	21,3	22,4	16339	70,4	226	221	6,1	1005	32	236	0,0	15,7	8025	8089	15815	16339	226	1007	0
01.09.2025	17:00:00	3,1	21,2	22,0	37244	70,7	227	385	6,1	1005	28	243	0,0	15,6	15859	14515	26637	35073	243	1007	0
01.09.2025	17:30:00	1,7	21,1	22,1	56511	71,2	247	415	6,1	1005	24	250	0,0	15,7	9885	11851	34229	56511	242	1007	0
01.09.2025	18:00:00	2,5	21,8	22,7	21409	68,3	185	301	6,1	1005	20	257	0,0	16,1	7112	7069	21386	10448	194	1007	0
01.09.2025	18:30:00	0,6	21,9	21,9	15081	70,7	31	251	6,1	1005	15	263	0,0	16,4	7142	6683	15111	9402	199	1007	0
01.09.2025	19:00:00	1,5	20,8	21,8	4737	76,4	81	77	6,1	1005	11	269	0,0	16,5	4665	2908	4045	4740	0	1007	0
01.09.2025	19:30:00	1,0	20,4	20,4	4353	78,0	97	70	6,1	1005	8	273	0,0	16,6	4669	2665	2740	4676	0	1007	0
01.09.2025	20:00:00	1,0	20,4	20,4	4353	78,0	97	20	6,1	1005	8	273	0,0	16,6	4669	2665	2740	4676	0	1007	0
01.09.2025	20:30:00	1,0	20,4	20,4	4353	78,0	97	0	6,1	1005	8	273	0,0	16,6	4669	2665	2740	4676	0	1007	0
01.09.2025	21:00:00	1,0	20,4	20,4	4353	78,0	97	0	6,1	1005	8	273	0,0	16,6	4669	2665	2740	4676	0	1007	0
01.09.2025	21:30:00	1,0	20,4	20,4	4353	78,0	97	0	6,1	1005	8	273	0,0	16,6	4669	2665	2740	4676	0	1007	0
01.09.2025	22:00:00	1,0	20,4	20,4	4353	78,0	97	0	6,1	1005	8	273	0,0	16,6	4669	2665	2740	4676	0	1007	0
01.09.2025	22:30:00	0,7	17,8	17,8	0	87,8	151	0	6,1	1005	8	273	0,0	15,7	0	0	2740	0	0	1008	0
01.09.2025	23:00:00	0,7	17,8	17,8	0	87,8	151	0	6,1	1005	8	273	0,0	15,7	0	0	2740	0	0	1008	0
01.09.2025	23:30:00	0,7	17,8	17,8	0	87,8	151	0	6,1	1005	8	273	0,0	15,7	0	0	2740	0	0	1008	0
02.09.2025	00:00:00	0,7	17,8	17,8	0	87,8	151	0	6,1	1005	8	273	0,0	15,7	0	0	2740	0	0	1008	0
02.09.2025	00:30:00	0,7	17,8	17,8	0	87,8	151	0	6,1	1005	8	273	0,0	15,7	0	0	2740	0	0	1008	0
02.09.2025	01:00:00	0,7	17,8	17,8	0	87,8	151	0	6,1	1005	8	273	0,0	15,7	0	0	2740	0	0	1008	0
02.09.2025	01:30:00	1,5	16,1	16,3	0	87,8	170	0	6,1	1005	8	356	0,0	15,7	0	0	2740	0	0	1008	0
02.09.2025	02:00:00	1,5	16,1	16,3	0	87,8	170	0	6,1	1005	8	356	0,0	15,7	0	0	2740	0	0	1007	0
02.09.2025	02:30:00	1,5	16,1	16,3	0	87,8	170	0	6,1	1005	8	356	0,0	15,7	0	0	2740	0	0	1007	0
02.09.2025	03:00:00	1,5	16,1	16,3	0	87,8	170	0	6,1	1005	8	356	0,0	15,7	0	0	2740	0	0	1007	0
02.09.2025	03:30:00	1,5	16,1	16,3	0	87,8	170	0	6,1	1005	8	356	0,0	15,7	0	0	2740	0	0	1007	0
02.09.2025	04:00:00	1,5	16,1	16,3	0	87,8	170	0	6,1	1005	8	356	0,0	15,7	0	0	2740	0	0	1007	0
02.09.2025	04:30:00	1,5	16,1	16,3	0	87,8	170	0	6,1	1005	8	356	0,0	15,7	0	0	2740	0	0	1007	0
02.09.2025	05:00:00	1,5	16,1	16,3	0	87,8	170	0	6,1	1005	8	356	0,0	15,7	0	0	2740	0	0	1007	0
02.09.2025	05:30:00	1,5	16,1	16,3	0	87,8	170	0	6,1	1005	8	356	0,0	15,7	0	0	2740	0	0	1007	0
02.09.2025	06:00:00	1,5	16,1	16,3	1	87,8	170	0	0,0	1005	8	356	0,0	15,7	0	0	0	0	0	1007	0
02.09.2025	06:30:00	1,5	16,1	16,3	1	87,8	170	0	0,0	1005	8	356	0,0	15,7	0	1	0	0	0	1007	0
02.09.2025	07:00:00	1,5	16,1	16,3	1	87,8	170	5	0,0	1005	8	356	0,0	15,7	0	1	0	0	0	1007	0
02.09.2025	07:30:00	1,5	16,1	16,3	1	87,8	170	36	0,0	1005	8	356	0,0	15,7	0	1	0	0	0	1007	0
