latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
53.18102,8.181818,9.0,7200,Europe/Berlin,GMT+2

time,temperature_2m (°C),rain (mm),precipitation (mm),dew_point_2m (°C),relative_humidity_2m (%),apparent_temperature (°C),weather_code (wmo code),surface_pressure (hPa)
2025-09-21T00:00,19.2,0.00,0.00,16.9,87,19.4,3,1008.3
2025-09-21T01:00,19.3,0.00,0.00,16.8,85,19.2,3,1007.9
2025-09-21T02:00,19.3,0.00,0.00,16.6,84,18.9,3,1007.1
2025-09-21T03:00,18.7,0.00,0.00,17.6,93,18.9,3,1006.8
2025-09-21T04:00,18.9,0.00,0.00,17.4,91,18.9,3,1006.0
2025-09-21T05:00,18.8,0.00,0.00,17.0,89,18.4,0,1005.7
2025-09-21T06:00,18.3,0.00,0.00,16.6,90,17.6,1,1005.7
2025-09-21T07:00,18.0,0.00,0.00,16.0,88,16.7,3,1005.7
2025-09-21T08:00,17.3,0.00,0.00,13.1,77,14.8,3,1006.3
2025-09-21T09:00,16.5,0.00,0.00,10.5,68,13.0,3,1006.9
2025-09-21T10:00,16.4,0.00,0.00,10.1,66,12.2,3,1007.3
2025-09-21T11:00,16.3,0.00,0.00,10.3,68,12.3,3,1007.7
2025-09-21T12:00,15.7,0.00,0.00,10.2,70,11.9,3,1007.9
2025-09-21T13:00,16.4,0.00,0.00,10.9,70,12.4,3,1008.5
2025-09-21T14:00,16.6,0.10,0.10,11.4,71,12.9,51,1009.8
2025-09-21T15:00,15.9,0.60,0.60,11.2,74,12.2,53,1011.3
2025-09-21T16:00,15.2,0.00,0.00,10.0,71,11.9,3,1012.7
2025-09-21T17:00,14.0,0.00,0.00,9.6,75,11.0,3,1013.4
2025-09-21T18:00,13.9,0.00,0.00,8.8,72,11.1,3,1013.9
2025-09-21T19:00,13.7,0.00,0.00,8.4,70,11.4,3,1014.5
2025-09-21T20:00,13.0,0.00,0.00,7.7,70,10.7,3,1015.1
2025-09-21T21:00,12.3,0.00,0.00,7.4,72,9.9,3,1016.1
2025-09-21T22:00,11.6,0.00,0.00,7.5,76,9.6,3,1016.5
2025-09-21T23:00,11.3,0.00,0.00,7.5,77,9.3,3,1017.0
2025-09-22T00:00,10.4,0.00,0.00,7.4,81,8.6,3,1017.4
2025-09-22T01:00,10.1,0.00,0.00,7.4,83,8.1,3,1017.5
2025-09-22T02:00,9.6,0.00,0.00,7.3,85,7.5,3,1017.8
2025-09-22T03:00,9.0,0.00,0.00,7.2,88,6.9,3,1018.2
2025-09-22T04:00,9.2,0.00,0.00,7.3,88,7.0,1,1018.2
2025-09-22T05:00,9.1,0.00,0.00,7.3,88,6.9,3,1018.3
2025-09-22T06:00,9.2,0.00,0.00,6.9,85,6.8,3,1018.5
2025-09-22T07:00,9.7,0.00,0.00,6.8,82,7.3,3,1019.1
2025-09-22T08:00,10.5,0.00,0.00,7.5,81,8.5,3,1019.4
2025-09-22T09:00,11.6,0.00,0.00,8.1,79,9.7,3,1019.9
2025-09-22T10:00,13.0,0.00,0.00,8.8,75,11.5,3,1020.6
2025-09-22T11:00,14.3,0.10,0.10,7.0,61,11.2,51,1021.3
2025-09-22T12:00,14.8,0.00,0.00,6.9,59,11.6,3,1021.4
2025-09-22T13:00,15.0,0.00,0.00,6.5,57,11.6,3,1021.1
2025-09-22T14:00,15.1,0.00,0.00,6.6,57,11.7,1,1020.9
2025-09-22T15:00,15.3,0.00,0.00,5.9,53,11.8,3,1021.5
2025-09-22T16:00,15.0,0.00,0.00,5.4,53,11.5,2,1021.6
2025-09-22T17:00,14.4,0.10,0.10,5.4,55,11.0,51,1021.6
2025-09-22T18:00,13.9,0.00,0.00,6.0,59,10.9,1,1021.4
2025-09-22T19:00,12.7,0.00,0.00,6.3,65,10.5,0,1021.7
2025-09-22T20:00,11.4,0.00,0.00,6.4,71,9.5,0,1022.1
2025-09-22T21:00,10.7,0.00,0.00,6.3,74,8.5,1,1022.4
2025-09-22T22:00,10.6,0.00,0.00,6.4,75,8.1,0,1022.6
2025-09-22T23:00,10.0,0.00,0.00,6.7,80,8.1,2,1022.6
2025-09-23T00:00,10.1,0.00,0.00,6.9,81,8.6,1,1022.6
2025-09-23T01:00,9.7,0.00,0.00,6.9,83,8.0,3,1022.5
2025-09-23T02:00,10.0,0.00,0.00,7.0,82,8.0,1,1022.6
2025-09-23T03:00,8.0,0.00,0.00,6.2,88,5.9,1,1022.6
2025-09-23T04:00,8.2,0.00,0.00,6.6,90,6.1,0,1022.6
2025-09-23T05:00,8.0,0.00,0.00,6.7,92,6.0,1,1022.9
2025-09-23T06:00,7.8,0.00,0.00,6.8,93,5.9,1,1022.9
2025-09-23T07:00,7.8,0.00,0.00,6.8,93,6.0,1,1023.1
2025-09-23T08:00,9.0,0.00,0.00,7.6,91,7.3,1,1023.0
2025-09-23T09:00,10.8,0.00,0.00,9.0,89,9.6,1,1023.3
2025-09-23T10:00,12.9,0.00,0.00,10.3,84,12.4,0,1024.0
2025-09-23T11:00,14.0,0.00,0.00,9.9,76,12.7,1,1024.2
2025-09-23T12:00,14.7,0.10,0.10,9.4,70,13.2,51,1024.6
2025-09-23T13:00,15.0,0.10,0.10,9.1,68,13.3,51,1024.6
2025-09-23T14:00,15.3,0.00,0.00,8.7,65,13.3,1,1024.5
2025-09-23T15:00,15.7,0.00,0.00,6.4,54,13.0,0,1024.8
2025-09-23T16:00,15.6,0.00,0.00,5.5,51,12.4,0,1024.5
2025-09-23T17:00,15.0,0.00,0.00,5.2,52,11.7,0,1024.3
2025-09-23T18:00,14.1,0.00,0.00,6.1,58,11.1,0,1024.5
2025-09-23T19:00,12.6,0.00,0.00,6.7,67,9.9,0,1024.9
2025-09-23T20:00,11.4,0.00,0.00,6.8,73,8.7,0,1025.4
2025-09-23T21:00,11.1,0.00,0.00,7.0,76,8.3,1,1026.0
2025-09-23T22:00,10.7,0.00,0.00,6.8,77,8.0,0,1026.1
2025-09-23T23:00,9.9,0.00,0.00,6.3,78,6.9,0,1026.3
2025-09-24T00:00,9.2,0.00,0.00,5.6,78,6.3,0,1026.7
2025-09-24T01:00,8.3,0.00,0.00,5.2,81,5.5,0,1026.8
2025-09-24T02:00,7.6,0.00,0.00,5.0,84,4.9,0,1027.1
2025-09-24T03:00,6.4,0.00,0.00,4.7,89,3.5,0,1027.4
2025-09-24T04:00,6.1,0.00,0.00,4.6,90,3.3,0,1027.4
2025-09-24T05:00,5.9,0.00,0.00,4.6,91,3.1,0,1027.6
2025-09-24T06:00,5.7,0.00,0.00,4.5,92,2.8,0,1027.7
2025-09-24T07:00,5.6,0.00,0.00,4.4,92,2.6,0,1027.7
2025-09-24T08:00,6.1,0.00,0.00,4.6,90,3.0,0,1027.7
2025-09-24T09:00,7.9,0.00,0.00,5.6,85,4.7,0,1028.0
2025-09-24T10:00,10.1,0.00,0.00,6.6,79,7.4,0,1028.1
2025-09-24T11:00,12.2,0.00,0.00,7.4,72,9.4,0,1028.3
2025-09-24T12:00,13.7,0.00,0.00,6.8,63,10.3,0,1028.1
2025-09-24T13:00,14.5,0.00,0.00,5.4,54,10.7,0,1027.8
2025-09-24T14:00,15.0,0.00,0.00,5.4,53,11.2,0,1027.4
2025-09-24T15:00,15.8,0.00,0.00,5.2,49,11.6,0,1026.7
2025-09-24T16:00,15.8,0.00,0.00,5.6,51,11.4,0,1026.2
2025-09-24T17:00,15.4,0.00,0.00,5.5,52,11.2,0,1025.9
2025-09-24T18:00,14.7,0.00,0.00,6.0,56,10.8,0,1025.7
